segamastersystem,"Ace of Aces",NA,NA,"Shoot 'Em Up",NA,1991,http://vgcollect.com/images/front-box-art/67902.jpg
segamastersystem,"Action Fighter","Sega Enterprises Ltd.","Sega of America, Inc.",Racing,NA,"August 16 1986",http://vgcollect.com/images/front-box-art/10689.jpg
segamastersystem,"Aerial Assault","Sega Enterprises Ltd.","Sega of America, Inc.",NA,NA,NA,http://vgcollect.com/images/front-box-art/13382.jpg
segamastersystem,"After Burner","Sega Enterprises Ltd.","Sega of America, Inc.",Arcade,NA,1988,http://vgcollect.com/images/front-box-art/10868.jpg
segamastersystem,"Air Rescue",NA,NA,"Shoot 'Em Up",NA,NA,http://vgcollect.com/images/front-box-art/45297.jpg
segamastersystem,"Alex Kidd In Miracle World (Blue Cartridge Label)",NA,NA,Platformer,None,NA,http://vgcollect.com/images/front-box-art/16592.jpg
segamastersystem,"Alex Kidd In Miracle World (Red Cartridge Label)",NA,NA,NA,NA,1986,http://vgcollect.com/images/front-box-art/12717.jpg
segamastersystem,"Alex Kidd In Shinobi World (Blue Cartridge Label)","Sega Enterprises Ltd.",Sega,Platformer,None,1990,http://vgcollect.com/images/front-box-art/15340.jpg
segamastersystem,"Alex Kidd In Shinobi World (Red Cartridge Label)","Sega Enterprises Ltd.",Sega,Platformer,None,1990,http://vgcollect.com/images/front-box-art/15341.jpg
segamastersystem,"Alex Kidd: High-Tech World","Sega Enterprises Ltd.",Sega,Platformer,NA,1989,http://vgcollect.com/images/front-box-art/12718.jpg
segamastersystem,"Alex Kidd: The Lost Stars","Sega Enterprises Ltd.","Sega of America, Inc.",Platformer,None,1989,http://vgcollect.com/images/front-box-art/10869.jpg
segamastersystem,Alf,"Nexa Corperation",Sega,Action,NA,1989,http://vgcollect.com/images/front-box-art/15280.jpg
segamastersystem,"Alien Syndrome",Sanritsu,Sega,Action,None,1988,http://vgcollect.com/images/front-box-art/7896.jpg
segamastersystem,"Altered Beast","Sega Development Division #3",Sega,Platformer,NA,1988,http://vgcollect.com/images/front-box-art/6091.jpg
segamastersystem,"Assault City (phaser only version)",NA,NA,"Light Gun Shooter",NA,1990,http://vgcollect.com/images/front-box-art/63020.jpg
segamastersystem,Asterix,NA,NA,Action,NA,1991,http://vgcollect.com/images/front-box-art/67903.jpg
segamastersystem,"Astro Warrior","Sega Enterprises Ltd.","Sega of America, Inc.",Action,NA,1986,http://vgcollect.com/images/front-box-art/10870.jpg
segamastersystem,"Aztec Adventure","Sega Enterprises Ltd.","Sega of America, Inc.",Action,NA,1987,http://vgcollect.com/images/front-box-art/10871.jpg
segamastersystem,"Back To The Future Part II",NA,NA,Platformer,NA,1990,http://vgcollect.com/images/front-box-art/69237.jpg
